fighter_1,fighter_2,knockdowns_1,knockdowns_2,total_strikes_1,total_strikes_2,significant_strikes_1,significant_strikes_2,head_strikes_1,head_strikes_2,body_strikes_1,body_strikes_2,leg_strikes_1,leg_strikes_2,distance_strikes_1,distance_strikes_2,clinch_strikes_1,clinch_strikes_2,ground_strikes_1,ground_strikes_2,takedowns_1,takedowns_2,submission_attempts_1,submission_attempts_2,reversals_1,reversals_2,control_time_1,control_time_2,result,method,round,time,referee,ufc_stats_com_url
Ode Osbourne,Jerome Rivera,1,0,5 of 6,2 of 3,5 of 6,2 of 3,5 of 6,0 of 1,0 of 0,1 of 1,0 of 0,1 of 1,1 of 1,2 of 3,0 of 0,0 of 0,4 of 5,0 of 0,0 of 0,0 of 0,0,0,0,0,0:02,0:00,W,KO/TKO,1,0:26,Chris Tognoni,http://ufcstats.com/fight-details/3ac61bcb406e1a0c
Dustin Poirier,Conor McGregor,1,0,53 of 98,52 of 92,48 of 91,29 of 66,30 of 69,23 of 60,0 of 1,4 of 4,18 of 21,2 of 2,46 of 89,27 of 63,0 of 0,2 of 3,2 of 2,0 of 0,1 of 1,0 of 1,0,0,0,0,1:42,1:07,W,KO/TKO,2,2:32,Herb Dean,http://ufcstats.com/fight-details/3d3e7dc7b4bf2bc4
Dan Hooker,Michael Chandler,0,1,8 of 19,17 of 24,8 of 19,17 of 24,0 of 6,12 of 17,0 of 1,4 of 6,8 of 12,1 of 1,8 of 19,7 of 11,0 of 0,0 of 0,0 of 0,10 of 13,0 of 0,0 of 0,0,0,0,0,0:00,0:09,L,KO/TKO,1,2:30,Marc Goddard,http://ufcstats.com/fight-details/a5075f4eaee6036f
Jessica Eye,Joanne Wood,0,0,104 of 218,214 of 319,77 of 173,148 of 240,39 of 127,52 of 122,35 of 41,53 of 62,3 of 5,43 of 56,44 of 132,113 of 198,32 of 40,35 of 42,1 of 1,0 of 0,1 of 4,1 of 3,0,0,0,0,5:03,0:19,L,Decision - Unanimous,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/c4ea3f6fae702459
Andrew Sanchez,Makhmud Muradov,0,0,50 of 144,82 of 177,48 of 141,79 of 174,34 of 118,52 of 139,8 of 15,16 of 22,6 of 8,11 of 13,48 of 141,72 of 165,0 of 0,5 of 7,0 of 0,2 of 2,0 of 2,0 of 2,0,0,0,0,0:22,0:16,L,KO/TKO,3,2:59,Jason Herzog,http://ufcstats.com/fight-details/65352221c0bfe52d
Marina Rodriguez,Amanda Ribas,1,0,26 of 52,35 of 57,15 of 36,7 of 23,14 of 33,4 of 19,1 of 1,2 of 2,0 of 2,1 of 2,5 of 25,3 of 16,3 of 3,1 of 1,7 of 8,3 of 6,0 of 0,1 of 1,0,0,0,0,0:07,3:39,W,KO/TKO,2,0:54,Herb Dean,http://ufcstats.com/fight-details/cd08b68f0bafafbf
Arman Tsarukyan,Matt Frevola,0,0,103 of 180,51 of 97,50 of 103,16 of 57,32 of 82,8 of 46,12 of 15,6 of 9,6 of 6,2 of 2,39 of 86,9 of 48,5 of 8,7 of 9,6 of 9,0 of 0,10 of 12,0 of 2,0,0,0,0,8:24,0:02,W,Decision - Unanimous,3,5:00,Lukasz Bosacki,http://ufcstats.com/fight-details/99dbe9669f31ed91
Brad Tavares,Antonio Carlos Junior,0,0,73 of 135,57 of 135,54 of 108,34 of 103,28 of 76,24 of 93,6 of 8,2 of 2,20 of 24,8 of 8,50 of 102,33 of 100,4 of 6,1 of 3,0 of 0,0 of 0,0 of 0,1 of 12,0,0,0,0,0:05,6:28,W,Decision - Unanimous,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/92f569a6d9374b86
Julianna Pena,Sara McMann,0,0,140 of 192,28 of 63,38 of 76,21 of 54,27 of 65,10 of 39,11 of 11,7 of 10,0 of 0,4 of 5,20 of 57,12 of 43,10 of 10,6 of 6,8 of 9,3 of 5,1 of 1,3 of 3,1,0,0,0,2:55,7:21,W,Submission,3,3:39,Keith Peterson,http://ufcstats.com/fight-details/83da743f6dda7dcc
Khalil Rountree Jr.,Marcin Prachnio,0,0,50 of 149,105 of 220,49 of 148,102 of 216,29 of 120,33 of 131,13 of 18,29 of 39,7 of 10,40 of 46,49 of 146,100 of 211,0 of 2,2 of 5,0 of 0,0 of 0,0 of 0,0 of 2,0,0,0,0,0:00,0:05,L,Decision - Unanimous,3,5:00,Herb Dean,http://ufcstats.com/fight-details/c597fd8bb66d54d8
Nik Lentz,Movsar Evloev,0,0,50 of 137,137 of 235,46 of 127,82 of 170,24 of 100,70 of 153,15 of 20,7 of 10,7 of 7,5 of 7,41 of 120,78 of 165,5 of 7,0 of 0,0 of 0,4 of 5,1 of 5,2 of 2,2,0,1,0,1:26,4:36,L,Decision - Split,3,5:00,Lukasz Bosacki,http://ufcstats.com/fight-details/f3ccbfd7036f3cf3
Amir Albazi,Zhalgas Zhumagulov,0,0,94 of 200,74 of 150,68 of 169,59 of 132,40 of 128,22 of 84,15 of 24,31 of 41,13 of 17,6 of 7,64 of 163,58 of 128,2 of 3,1 of 2,2 of 3,0 of 2,2 of 3,1 of 3,0,0,0,0,3:38,0:27,W,Decision - Unanimous,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/aaf45b095452be23
Michael Chiesa,Neil Magny,0,0,93 of 125,52 of 96,24 of 52,12 of 50,19 of 43,7 of 42,3 of 7,5 of 7,2 of 2,0 of 1,10 of 29,8 of 45,1 of 2,4 of 5,13 of 21,0 of 0,4 of 6,1 of 3,0,1,0,0,15:21,2:15,W,Decision - Unanimous,5,5:00,Marc Goddard,http://ufcstats.com/fight-details/61bedad39b15db7a
Warlley Alves,Mounir Lazzez,1,0,24 of 30,2 of 2,17 of 21,2 of 2,9 of 12,1 of 1,7 of 8,1 of 1,1 of 1,0 of 0,7 of 9,0 of 0,4 of 6,2 of 2,6 of 6,0 of 0,1 of 1,0 of 0,0,0,0,0,1:36,0:42,W,KO/TKO,1,2:35,Herb Dean,http://ufcstats.com/fight-details/dd34dd337e637767
Ike Villanueva,Vinicius Moreira,1,0,24 of 56,24 of 42,24 of 56,24 of 42,18 of 47,4 of 10,6 of 9,10 of 18,0 of 0,10 of 14,24 of 56,23 of 41,0 of 0,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0,0,0:00,0:00,W,KO/TKO,2,0:39,Jason Herzog,http://ufcstats.com/fight-details/4f6d3cdf2c77fb57
Roxanne Modafferi,Viviane Araujo,0,0,49 of 193,100 of 214,46 of 184,86 of 198,40 of 177,79 of 187,2 of 3,5 of 8,4 of 4,2 of 3,45 of 181,85 of 192,1 of 3,1 of 2,0 of 0,0 of 4,0 of 5,4 of 4,0,1,0,0,0:39,3:06,L,Decision - Unanimous,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/a003e8305d4dbdc8
Matt Schnell,Tyson Nam,0,0,85 of 214,58 of 193,85 of 214,58 of 193,69 of 195,36 of 164,10 of 12,10 of 15,6 of 7,12 of 14,83 of 212,58 of 193,2 of 2,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0,0,0:00,0:00,W,Decision - Split,3,5:00,Herb Dean,http://ufcstats.com/fight-details/57e784028ef2c17d
Lerone Murphy,Douglas Silva de Andrade,0,0,60 of 131,51 of 121,48 of 115,39 of 108,29 of 92,16 of 74,8 of 11,11 of 14,11 of 12,12 of 20,37 of 97,33 of 101,6 of 8,6 of 7,5 of 10,0 of 0,1 of 4,1 of 2,0,0,0,0,1:51,1:21,W,Decision - Unanimous,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/d27ac1bc677b89cf
Omari Akhmedov,Tom Breese,0,0,73 of 91,6 of 12,25 of 38,1 of 4,23 of 34,0 of 2,1 of 3,1 of 2,1 of 1,0 of 0,4 of 7,1 of 4,0 of 0,0 of 0,21 of 31,0 of 0,2 of 5,0 of 1,1,3,0,1,4:34,1:00,W,Submission,2,1:41,Lukasz Bosacki,http://ufcstats.com/fight-details/ac475de5a3d0d7e2
Ricky Simon,Gaetano Pirrello,0,0,50 of 69,10 of 18,17 of 32,6 of 14,14 of 28,4 of 11,3 of 4,0 of 0,0 of 0,2 of 3,3 of 13,5 of 12,4 of 6,1 of 2,10 of 13,0 of 0,7 of 10,0 of 0,1,0,0,0,6:59,0:00,W,Submission,2,4:00,Keith Peterson,http://ufcstats.com/fight-details/4abcf14faa7f92f2
Sumudaerji,Zarrukh Adashev,0,0,50 of 127,28 of 123,50 of 127,28 of 123,22 of 87,20 of 102,9 of 16,3 of 13,19 of 24,5 of 8,50 of 127,24 of 117,0 of 0,4 of 6,0 of 0,0 of 0,0 of 0,0 of 1,0,0,0,0,0:00,0:02,W,Decision - Unanimous,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/ddbe6fd66d7f9e35
Dalcha Lungiambula,Markus Perez,0,0,61 of 98,50 of 75,29 of 65,25 of 49,17 of 47,7 of 26,12 of 17,15 of 18,0 of 1,3 of 5,5 of 34,18 of 37,5 of 8,7 of 12,19 of 23,0 of 0,1 of 2,0 of 1,0,1,0,0,6:46,4:21,W,Decision - Unanimous,3,5:00,Herb Dean,http://ufcstats.com/fight-details/76b61ff4c9760f79
Francisco Figueiredo,Jerome Rivera,0,0,39 of 65,85 of 199,29 of 53,31 of 134,11 of 28,12 of 90,7 of 11,8 of 20,11 of 14,11 of 24,20 of 40,22 of 112,4 of 4,9 of 22,5 of 9,0 of 0,4 of 6,0 of 5,0,0,0,1,7:07,1:07,W,Decision - Unanimous,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/4e451881e0e47b05
Mike Davis,Mason Jones,0,0,111 of 210,132 of 329,108 of 207,117 of 313,54 of 131,83 of 265,42 of 61,18 of 31,12 of 15,16 of 17,97 of 189,104 of 285,8 of 14,11 of 21,3 of 4,2 of 7,3 of 9,1 of 4,0,0,0,0,0:50,0:51,W,Decision - Unanimous,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/031e6624f96aceb8
Umar Nurmagomedov,Sergey Morozov,0,0,32 of 48,8 of 31,25 of 41,7 of 30,14 of 25,2 of 20,4 of 9,3 of 7,7 of 7,2 of 3,18 of 34,7 of 29,6 of 6,0 of 1,1 of 1,0 of 0,5 of 11,0 of 0,1,0,0,0,2:57,0:08,W,Submission,2,3:39,Jason Herzog,http://ufcstats.com/fight-details/11558384f80f6506
Victoria Leonardo,Manon Fiorot,0,0,18 of 82,58 of 105,17 of 81,53 of 100,7 of 59,31 of 72,3 of 11,14 of 19,7 of 11,8 of 9,15 of 76,42 of 82,2 of 5,10 of 15,0 of 0,1 of 3,0 of 1,1 of 1,0,0,0,0,0:02,1:25,L,KO/TKO,2,4:08,Lukasz Bosacki,http://ufcstats.com/fight-details/ae38fb2a6b6a0cc1
Max Holloway,Calvin Kattar,0,0,447 of 746,134 of 284,445 of 744,133 of 283,274 of 553,99 of 237,117 of 133,16 of 23,54 of 58,18 of 23,439 of 737,129 of 279,6 of 7,4 of 4,0 of 0,0 of 0,0 of 1,0 of 2,0,0,0,0,0:27,0:05,W,Decision - Unanimous,5,5:00,Herb Dean,http://ufcstats.com/fight-details/a4817b7e46028b4a
Carlos Condit,Matt Brown,0,0,157 of 209,37 of 52,39 of 88,28 of 37,30 of 73,13 of 22,4 of 8,11 of 11,5 of 7,4 of 4,22 of 68,11 of 18,5 of 5,8 of 8,12 of 15,9 of 11,2 of 4,1 of 6,0,0,1,0,4:52,6:06,W,Decision - Unanimous,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/6b0da0b1cda7799f
Santiago Ponzinibbio,Li Jingliang,0,1,11 of 18,21 of 50,11 of 18,21 of 50,7 of 14,6 of 30,0 of 0,3 of 6,4 of 4,12 of 14,11 of 18,20 of 49,0 of 0,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0,0,0,0,0,0:00,0:02,L,KO/TKO,1,4:25,Jason Herzog,http://ufcstats.com/fight-details/aeb7ff8ce6e1beac
Joaquin Buckley,Alessio Di Chirico,0,1,3 of 22,12 of 23,3 of 22,12 of 23,2 of 19,6 of 17,1 of 3,4 of 4,0 of 0,2 of 2,3 of 22,9 of 20,0 of 0,0 of 0,0 of 0,3 of 3,0 of 0,0 of 0,0,0,0,0,0:00,0:01,L,KO/TKO,1,2:12,Keith Peterson,http://ufcstats.com/fight-details/775c1f401815bbd8
Punahele Soriano,Dusko Todorovic,2,0,32 of 69,23 of 59,30 of 66,22 of 57,25 of 60,15 of 49,4 of 5,7 of 8,1 of 1,0 of 0,21 of 51,18 of 53,4 of 5,4 of 4,5 of 10,0 of 0,0 of 1,0 of 0,0,0,0,0,0:38,0:04,W,KO/TKO,1,4:48,Herb Dean,http://ufcstats.com/fight-details/358f816aff469270
Wu Yanan,Joselyne Edwards,0,0,70 of 148,111 of 206,58 of 129,88 of 178,34 of 91,44 of 105,14 of 23,23 of 43,10 of 15,21 of 30,51 of 118,72 of 158,5 of 8,5 of 7,2 of 3,11 of 13,1 of 2,0 of 3,0,1,1,1,3:49,1:09,L,Decision - Unanimous,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/97ad63e644757cf4
Carlos Felipe,Justin Tafa,0,0,77 of 142,109 of 171,77 of 142,86 of 148,46 of 103,50 of 107,28 of 36,20 of 24,3 of 3,16 of 17,64 of 128,74 of 133,13 of 14,12 of 15,0 of 0,0 of 0,0 of 1,0 of 2,0,0,0,0,0:41,1:53,W,Decision - Split,3,5:00,Herb Dean,http://ufcstats.com/fight-details/0165bd3c26f0c076
David Zawada,Ramazan Emeev,0,0,114 of 190,101 of 160,44 of 114,53 of 101,24 of 88,36 of 81,6 of 10,13 of 15,14 of 16,4 of 5,30 of 90,36 of 82,13 of 23,12 of 14,1 of 1,5 of 5,1 of 1,4 of 9,0,0,0,1,2:06,4:28,L,Decision - Split,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/3fcd53eb27945231
Sarah Moras,Vanessa Melo,0,0,44 of 200,56 of 169,44 of 200,56 of 169,12 of 162,43 of 151,7 of 11,9 of 14,25 of 27,4 of 4,44 of 200,56 of 169,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,0 of 0,0,0,0,0,0:00,0:04,L,Decision - Unanimous,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/97c80f69ac312030
Jacob Kilburn,Austin Lingo,0,1,78 of 216,110 of 197,64 of 201,95 of 182,47 of 172,81 of 166,8 of 19,10 of 12,9 of 10,4 of 4,60 of 190,93 of 177,3 of 8,2 of 4,1 of 3,0 of 1,1 of 18,1 of 2,1,0,0,0,1:09,3:48,L,Decision - Unanimous,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/3d903bc35023f50a
Stephen Thompson,Geoff Neal,0,0,191 of 428,110 of 205,171 of 406,85 of 179,124 of 354,71 of 161,41 of 46,8 of 11,6 of 6,6 of 7,165 of 398,79 of 169,6 of 8,6 of 10,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0,0,0:00,3:46,W,Decision - Unanimous,5,5:00,Marc Goddard,http://ufcstats.com/fight-details/c7375d5db21cbaae
Jose Aldo,Marlon Vera,0,0,60 of 86,92 of 133,44 of 70,46 of 82,17 of 38,8 of 33,21 of 26,11 of 15,6 of 6,27 of 34,36 of 62,34 of 69,8 of 8,12 of 13,0 of 0,0 of 0,0 of 2,0 of 3,0,0,0,0,4:57,2:51,W,Decision - Unanimous,3,5:00,Dan Miragliotta,http://ufcstats.com/fight-details/014f1da2083ca174
Michel Pereira,Khaos Williams,0,0,56 of 94,62 of 134,44 of 79,55 of 127,24 of 53,23 of 74,20 of 26,9 of 19,0 of 0,23 of 34,33 of 67,48 of 114,9 of 10,7 of 13,2 of 2,0 of 0,2 of 2,0 of 0,1,0,0,0,1:21,0:36,W,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/3d35eb2d46bf74de
Marlon Moraes,Rob Font,0,1,12 of 16,33 of 41,9 of 12,30 of 37,8 of 10,27 of 34,1 of 2,3 of 3,0 of 0,0 of 0,8 of 9,13 of 18,0 of 0,1 of 1,1 of 3,16 of 18,2 of 3,0 of 0,0,0,0,1,2:31,0:38,L,KO/TKO,1,3:47,Marc Goddard,http://ufcstats.com/fight-details/8955ea3c7c332e6c
Marcin Tybura,Greg Hardy,0,0,60 of 111,50 of 91,51 of 101,50 of 91,34 of 82,29 of 65,10 of 12,12 of 13,7 of 7,9 of 13,33 of 74,46 of 85,0 of 0,4 of 6,18 of 27,0 of 0,1 of 4,0 of 0,0,0,0,0,1:27,0:02,W,KO/TKO,2,4:31,Dan Miragliotta,http://ufcstats.com/fight-details/cd150cd28738a7c5
Anthony Pettis,Alex Morono,0,0,80 of 115,50 of 102,50 of 80,31 of 78,26 of 51,22 of 61,11 of 14,6 of 12,13 of 15,3 of 5,48 of 75,26 of 70,1 of 3,0 of 1,1 of 2,5 of 7,0 of 1,1 of 5,0,0,1,0,4:32,2:30,W,Decision - Unanimous,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/1c4602efe5587902
Sijara Eubanks,Pannie Kianzad,0,0,70 of 131,132 of 187,49 of 104,92 of 143,43 of 94,57 of 105,5 of 9,22 of 25,1 of 1,13 of 13,38 of 90,65 of 114,4 of 7,26 of 28,7 of 7,1 of 1,2 of 4,0 of 2,0,0,0,0,6:33,2:14,L,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/4cb249714ff56656
Deron Winn,Antonio Arroyo,0,0,64 of 89,70 of 87,20 of 38,45 of 62,10 of 26,29 of 45,5 of 7,11 of 12,5 of 5,5 of 5,18 of 35,43 of 60,2 of 2,0 of 0,0 of 1,2 of 2,12 of 16,0 of 0,0,0,0,0,9:29,0:28,W,Decision - Unanimous,3,5:00,Dan Miragliotta,http://ufcstats.com/fight-details/f004d3d50b78af50
Gillian Robertson,Taila Santos,0,0,42 of 48,72 of 85,9 of 14,27 of 37,7 of 12,21 of 30,1 of 1,3 of 4,1 of 1,3 of 3,4 of 9,4 of 13,0 of 0,1 of 1,5 of 5,22 of 23,0 of 2,1 of 1,1,1,0,0,1:01,12:47,L,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/f2fb049980631302
Tafon Nchukwi,Jamie Pickett,1,0,159 of 234,40 of 81,120 of 187,40 of 81,70 of 133,28 of 68,49 of 53,8 of 9,1 of 1,4 of 4,59 of 118,39 of 77,57 of 63,1 of 4,4 of 6,0 of 0,0 of 2,1 of 4,0,0,0,0,2:51,0:34,W,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/0fe4906754b2d0f9
Jimmy Flick,Cody Durden,0,0,7 of 15,30 of 43,6 of 14,21 of 32,4 of 7,17 of 28,0 of 1,3 of 3,2 of 6,1 of 1,6 of 14,17 of 28,0 of 0,2 of 2,0 of 0,2 of 2,0 of 1,2 of 2,1,0,0,0,0:00,1:21,W,Submission,1,3:18,Jerin Valel,http://ufcstats.com/fight-details/62e6eadbb2805760
Christos Giagos,Carlton Minus,0,0,76 of 124,29 of 81,31 of 67,28 of 80,23 of 57,18 of 64,3 of 5,4 of 9,5 of 5,6 of 7,17 of 50,28 of 79,1 of 1,0 of 1,13 of 16,0 of 0,5 of 15,0 of 0,0,0,0,0,8:57,0:00,W,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/8da75fd76a9b8e1d
Deiveson Figueiredo,Brandon Moreno,0,0,147 of 248,139 of 256,137 of 238,132 of 248,93 of 181,118 of 227,34 of 45,13 of 20,10 of 12,1 of 1,126 of 220,129 of 240,3 of 7,1 of 5,8 of 11,2 of 3,2 of 4,4 of 8,0,0,0,0,0:55,3:19,D,Decision - Majority,5,5:00,Jason Herzog,http://ufcstats.com/fight-details/c258996570faeec9
Tony Ferguson,Charles Oliveira,0,0,26 of 49,86 of 112,19 of 42,41 of 63,14 of 29,26 of 43,3 of 10,7 of 11,2 of 3,8 of 9,15 of 38,17 of 34,1 of 1,0 of 0,3 of 3,24 of 29,0 of 0,3 of 3,0,3,0,0,0:05,11:39,L,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/b7b867eb3c3cf163
Mackenzie Dern,Virna Jandiroba,0,0,101 of 195,80 of 152,82 of 174,63 of 134,57 of 143,46 of 113,16 of 21,15 of 19,9 of 10,2 of 2,62 of 150,43 of 109,17 of 21,18 of 23,3 of 3,2 of 2,0 of 5,1 of 1,0,0,0,0,2:34,2:44,W,Decision - Unanimous,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/27200d53ba9020b8
Kevin Holland,Jacare Souza,0,0,21 of 24,2 of 2,15 of 18,2 of 2,14 of 17,2 of 2,0 of 0,0 of 0,1 of 1,0 of 0,1 of 2,0 of 0,2 of 2,0 of 0,12 of 14,2 of 2,0 of 0,2 of 3,0,0,0,0,0:02,1:27,W,KO/TKO,1,1:45,Mark Smith,http://ufcstats.com/fight-details/4a172a5191cb8e60
Junior Dos Santos,Ciryl Gane,0,1,11 of 36,61 of 82,10 of 35,59 of 80,6 of 26,13 of 28,3 of 7,17 of 20,1 of 2,29 of 32,10 of 35,53 of 74,0 of 0,4 of 4,0 of 0,2 of 2,0 of 1,0 of 0,0,0,0,0,0:00,0:25,L,KO/TKO,2,2:34,Jerin Valel,http://ufcstats.com/fight-details/fe3ff5b1d9135add
Cub Swanson,Daniel Pineda,2,0,51 of 71,40 of 65,46 of 66,21 of 45,35 of 51,9 of 28,7 of 11,3 of 4,4 of 4,9 of 13,37 of 54,19 of 43,3 of 3,2 of 2,6 of 9,0 of 0,1 of 1,1 of 2,0,1,0,0,1:34,0:35,W,KO/TKO,2,1:52,Mark Smith,http://ufcstats.com/fight-details/022bdd58cc6e571d
Renato Moicano,Rafael Fiziev,0,1,15 of 37,21 of 35,15 of 37,21 of 35,10 of 32,7 of 18,3 of 3,7 of 10,2 of 2,7 of 7,14 of 35,20 of 34,1 of 2,0 of 0,0 of 0,1 of 1,0 of 1,0 of 1,0,0,0,0,0:00,0:04,L,KO/TKO,1,4:05,Chris Tognoni,http://ufcstats.com/fight-details/cb7616f92a9a4e5b
Gavin Tucker,Billy Quarantillo,0,0,123 of 183,136 of 233,106 of 166,84 of 178,68 of 122,45 of 127,31 of 37,33 of 44,7 of 7,6 of 7,71 of 122,55 of 138,32 of 41,29 of 35,3 of 3,0 of 5,7 of 13,0 of 3,0,0,0,0,5:14,0:25,W,Decision - Unanimous,3,5:00,Jerin Valel,http://ufcstats.com/fight-details/87d0b767742d3239
Tecia Torres,Sam Hughes,0,0,52 of 103,26 of 59,52 of 103,20 of 53,27 of 71,9 of 33,13 of 17,2 of 3,12 of 15,9 of 17,50 of 101,19 of 52,2 of 2,1 of 1,0 of 0,0 of 0,1 of 1,0 of 1,0,0,0,0,0:15,0:51,W,TKO - Doctor's Stoppage,1,5:00,Jason Herzog,http://ufcstats.com/fight-details/5ddf45e816a50fac
Chase Hooper,Peter Barrett,0,0,81 of 144,61 of 100,57 of 117,48 of 87,18 of 66,17 of 52,10 of 18,9 of 12,29 of 33,22 of 23,55 of 115,48 of 86,0 of 0,0 of 1,2 of 2,0 of 0,0 of 6,0 of 0,2,0,0,0,0:44,1:05,W,Submission,3,3:02,Chris Tognoni,http://ufcstats.com/fight-details/33d52ac2d70b8415
Jack Hermansson,Marvin Vettori,0,1,139 of 365,202 of 376,122 of 346,164 of 334,86 of 306,143 of 312,18 of 22,18 of 19,18 of 18,3 of 3,118 of 339,156 of 320,4 of 7,0 of 1,0 of 0,8 of 13,2 of 7,0 of 1,0,1,0,1,0:28,5:47,L,Decision - Unanimous,5,5:00,Herb Dean,http://ufcstats.com/fight-details/2723f4d275d3f619
Ovince Saint Preux,Jamahal Hill,0,0,37 of 73,68 of 128,36 of 72,68 of 128,7 of 36,39 of 92,14 of 17,23 of 28,15 of 19,6 of 8,35 of 70,62 of 120,1 of 2,6 of 8,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0,0,0:00,0:15,L,KO/TKO,2,3:37,Jason Herzog,http://ufcstats.com/fight-details/8d4a475e48722fea
Gabriel Benitez,Justin Jaynes,1,0,38 of 104,22 of 52,38 of 104,22 of 52,20 of 83,16 of 44,10 of 12,6 of 8,8 of 9,0 of 0,34 of 99,22 of 52,0 of 0,0 of 0,4 of 5,0 of 0,0 of 0,0 of 0,0,0,0,0,0:00,0:00,W,KO/TKO,1,4:06,,http://ufcstats.com/fight-details/46860358da8b8d82
Roman Dolidze,John Allan,0,0,118 of 205,48 of 117,51 of 109,29 of 86,31 of 81,15 of 64,15 of 23,5 of 13,5 of 5,9 of 9,47 of 100,28 of 84,1 of 1,1 of 1,3 of 8,0 of 1,3 of 5,1 of 1,3,0,0,0,7:16,0:15,W,Decision - Split,3,5:00,Herb Dean,http://ufcstats.com/fight-details/4478ee77a647ae9d
Matt Wiman,Jordan Leavitt,0,0,0 of 2,1 of 1,0 of 2,1 of 1,0 of 1,0 of 0,0 of 0,1 of 1,0 of 1,0 of 0,0 of 2,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,1 of 2,0,0,0,0,0:00,0:00,L,KO/TKO,1,0:22,Chris Tognoni,http://ufcstats.com/fight-details/856fab879c68ded7
Louis Smolka,Jose Quinonez,0,0,64 of 128,47 of 113,59 of 116,43 of 107,35 of 88,13 of 66,18 of 22,12 of 23,6 of 6,18 of 18,34 of 78,37 of 97,13 of 16,4 of 8,12 of 22,2 of 2,3 of 4,2 of 3,0,0,0,0,1:09,0:31,W,KO/TKO,2,2:15,Jason Herzog,http://ufcstats.com/fight-details/771d8ce136a12a13
Ilia Topuria,Damon Jackson,1,0,31 of 64,16 of 53,31 of 63,16 of 52,12 of 34,10 of 40,18 of 28,5 of 10,1 of 1,1 of 2,30 of 60,15 of 50,0 of 2,1 of 2,1 of 1,0 of 0,0 of 0,0 of 0,0,0,0,0,0:03,0:13,W,KO/TKO,1,2:38,Mark Smith,http://ufcstats.com/fight-details/b1be8b41b1a4fd85
Gian Villante,Jake Collier,0,0,81 of 198,126 of 277,80 of 197,123 of 272,58 of 168,88 of 225,14 of 19,19 of 29,8 of 10,16 of 18,79 of 196,121 of 270,1 of 1,2 of 2,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0,0,0:00,0:02,L,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/c4d1c4b82cf34afb
Anthony Smith,Devin Clark,0,0,4 of 8,27 of 30,1 of 4,1 of 3,1 of 4,1 of 3,0 of 0,0 of 0,0 of 0,0 of 0,0 of 2,1 of 3,0 of 0,0 of 0,1 of 2,0 of 0,1 of 1,0 of 0,1,0,0,1,1:18,1:07,W,Submission,1,2:34,Herb Dean,http://ufcstats.com/fight-details/09a29fb09fe07559
Miguel Baeza,Takashi Sato,0,0,43 of 82,15 of 58,40 of 73,15 of 58,16 of 40,10 of 49,20 of 28,4 of 8,4 of 5,1 of 1,32 of 65,15 of 56,3 of 3,0 of 1,5 of 5,0 of 1,1 of 2,0 of 0,1,0,0,0,1:09,0:02,W,Submission,2,4:28,Dan Miragliotta,http://ufcstats.com/fight-details/28b6ee9c3eb8b753
Josh Parisian,Parker Porter,0,0,123 of 237,164 of 275,114 of 226,126 of 228,71 of 173,90 of 190,35 of 44,16 of 18,8 of 9,20 of 20,89 of 190,105 of 198,25 of 36,20 of 27,0 of 0,1 of 3,0 of 0,2 of 4,0,1,0,0,0:28,4:27,L,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/32a7da2f34ae3803
